source_id,authority,coverage,source_type,official_url,current_input,current_as_of,retrieval,format,cadence,production_eligible,notes
sec_13f,US Securities and Exchange Commission,National,institutional_manager_activity,https://www.sec.gov/data-research/sec-markets-data/form-13f-data-sets,data/research/trust_companies/input/sec_13f_2026-03-01_2026-05-31.zip,2026-05-31,direct_download,zip_tsv,quarterly,false,Investment activity signal only; does not establish a trust charter or assets under management
occ_trust_banks,Office of the Comptroller of the Currency,National,national_trust_bank_registry,https://occ.gov/topics/charters-and-licensing/financial-institution-lists/trust-by-name.xlsx,data/research/trust_companies/input/occ_trust_banks_2026-07-31.xlsx,2026-07-31,direct_download,xlsx,monthly,false,Active national trust banks; business relevance still requires screening
ffiec_active,FFIEC National Information Center,National,active_institution_registry,https://www.ffiec.gov/npw/FinancialReport/DataDownload/1000,,,operator_download_after_normal_browser_access,zip_csv,periodic,false,Filter MTC NTC or charter type 250; do not bypass the site's CAPTCHA
ffiec_relationships,FFIEC National Information Center,National,ownership_relationships,https://www.ffiec.gov/npw/FinancialReport/DataDownload/1000,,,operator_download_after_normal_browser_access,zip_csv,periodic,false,Ownership evidence is a relationship and never an institution merge key by itself
ffiec_branches,FFIEC National Information Center,National,office_registry,https://www.ffiec.gov/npw/FinancialReport/DataDownload/1000,,,operator_download_after_normal_browser_access,zip_csv,periodic,false,Potential regulated-office coverage; not an advisor roster
fdic_bankfind,Federal Deposit Insurance Corporation,National,insured_bank_registry,https://api.fdic.gov/banks/docs,,,api_key_or_bulk_download,json_or_csv,weekly,false,Useful for insured banks and trust powers; does not cover Blue Trust and other uninsured nondeposit trusts
nc_fiduciaries,North Carolina Commissioner of Banks,North Carolina,licensed_fiduciaries,https://www.nccob.gov/Online/brts/TrustLicensees.aspx,,,manual_normalization,html,current_page,false,Includes in-state and out-of-state banks and trust companies; license is not proof of legal form
sc_trusts,South Carolina Office of the Commissioner of Banking,South Carolina,trust_authorizations,https://banking.sc.gov/regulated-institutions/trust,,,manual_normalization,html,current_page,false,Separates state-chartered banks trust company and out-of-state institutions
tn_trusts,Tennessee Department of Financial Institutions,Tennessee,state_trust_oversight,https://www.tn.gov/tdfi/bank-trust/trust-companies.html,,,manual_normalization,html_and_reports,ongoing,false,Use annual and application reports for current status and office changes
sd_trusts,South Dakota Division of Banking,South Dakota,state_trust_registry,https://dlr.sd.gov/banking/licensed_providers/state_chartered_trust_companies.pdf,,,manual_normalization,pdf,periodic,false,Credential type distinguishes public from private trust companies
fl_trusts,Florida Office of Financial Regulation,Florida,nondeposit_trust_registry,https://flofr.gov/divisions-offices/division-of-financial-institutions/non-deposit-trust-companies/comparative-statements-of-condition-and-income,,,manual_normalization,html_and_pdf,quarterly,false,Financial roster can support size triage but not advisor identities
